2026-03-06T20:53:35: 2026-03-06 20:53:35 | INFO    | 🔄 HOT-дубликат (extended): В Киеве снова объявили воздушную тревогу
2026-03-06T20:53:35: 2026-03-06 20:53:35 | INFO    | ✓ Ключевые слова (1, HOT:0): В Липецкой области объявили воздушную опасность
2026-03-06T20:53:35: 2026-03-06 20:53:35 | INFO    | 🔍 LLM проверка: В Липецкой области объявили воздушную опасность
2026-03-06T20:53:35: 2026-03-06 20:53:35 | INFO    | ✓ Ключевые слова (1, HOT:1): Мерц объяснил свое поведение в Белом доме
2026-03-06T20:53:37: 2026-03-06 20:53:37 | INFO    | 🔄 Extended fuzzy дубликат (65%): 'Мерц объяснил свое поведение в Белом дом' ~ 'Мерц объяснил свое поведение во время вс'
2026-03-06T20:53:37: 2026-03-06 20:53:37 | INFO    | HTTP Request: POST https://routerai.ru/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-06T20:53:37: 2026-03-06 20:53:37 | INFO    | HTTP Request: POST https://routerai.ru/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-06T20:53:37: 2026-03-06 20:53:37 | INFO    | ⏭️ LLM отклонил: Российская делегация прошла с флагом РФ на церемонии открыти
2026-03-06T20:53:37: 2026-03-06 20:53:37 | INFO    | ✅ LLM одобрил: Сын израильского министра получил ранение на границе с Ливан
2026-03-06T20:53:37: 2026-03-06 20:53:37 | INFO    | ✨ КАНДИДАТ #5: Сын израильского министра получил ранение на границе с Ливан
2026-03-06T20:53:37: 2026-03-06 20:53:37 | INFO    | 🔄 HOT-дубликат (extended): Мерц объяснил свое поведение в Белом доме
2026-03-06T20:53:37: 2026-03-06 20:53:37 | INFO    | ✓ Ключевые слова (5, HOT:1): Путин и Пезешкиан обсудили по телефону ситуацию вокруг Ирана
2026-03-06T20:53:39: 2026-03-06 20:53:39 | INFO    | ⚡ Автоодобрено (HOT/2+ ключ.слова): Путин и Пезешкиан обсудили по телефону ситуацию вокруг Ирана
2026-03-06T20:53:39: 2026-03-06 20:53:39 | INFO    | ✨ КАНДИДАТ #6: Путин и Пезешкиан обсудили по телефону ситуацию вокруг Ирана
2026-03-06T20:53:39: 2026-03-06 20:53:39 | INFO    | ✓ Ключевые слова (2, HOT:0): Иран заявил о потере доверия к администрации США
2026-03-06T20:53:41: 2026-03-06 20:53:41 | INFO    | HTTP Request: POST https://routerai.ru/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-06T20:53:41: 2026-03-06 20:53:41 | INFO    | ⏭️ LLM отклонил: В Липецкой области объявили воздушную опасность
2026-03-06T20:53:41: 2026-03-06 20:53:41 | INFO    | ✓ Ключевые слова (2, HOT:0): В Белом доме ожидают, что операция против Ирана продлится до
2026-03-06T20:53:41: 2026-03-06 20:53:41 | INFO    | ⚡ Автоодобрено (HOT/2+ ключ.слова): Иран заявил о потере доверия к администрации США
2026-03-06T20:53:41: 2026-03-06 20:53:41 | INFO    | ✨ КАНДИДАТ #7: Иран заявил о потере доверия к администрации США
2026-03-06T20:53:44: 2026-03-06 20:53:44 | INFO    | ⚡ Автоодобрено (HOT/2+ ключ.слова): В Белом доме ожидают, что операция против Ирана продлится до
2026-03-06T20:53:44: 2026-03-06 20:53:44 | INFO    | ✨ КАНДИДАТ #8: В Белом доме ожидают, что операция против Ирана продлится до
2026-03-06T20:53:44: 2026-03-06 20:53:44 | INFO    | ✓ Ключевые слова (1, HOT:0): Kan: в Израиле рассчитывают на присоединение Азербайджана к 
2026-03-06T20:53:44: 2026-03-06 20:53:44 | INFO    | 🔍 LLM проверка: Kan: в Израиле рассчитывают на присоединение Азербайджана к 
2026-03-06T20:53:44: 2026-03-06 20:53:44 | INFO    | ✓ Ключевые слова (1, HOT:1): Генсек ООН опасается, что ситуация на Ближнем Востоке может 
2026-03-06T20:53:47: 2026-03-06 20:53:47 | INFO    | ⚡ Автоодобрено (HOT/2+ ключ.слова): Генсек ООН опасается, что ситуация на Ближнем Востоке может 
2026-03-06T20:53:47: 2026-03-06 20:53:47 | INFO    | ✨ КАНДИДАТ #9: Генсек ООН опасается, что ситуация на Ближнем Востоке может 
2026-03-06T20:53:47: 2026-03-06 20:53:47 | INFO    | ✓ Ключевые слова (1, HOT:1): Трамп назвал два варианта безоговорочной капитуляции Ирана
2026-03-06T20:53:49: 2026-03-06 20:53:49 | INFO    | ⚡ Автоодобрено (HOT/2+ ключ.слова): Трамп назвал два варианта безоговорочной капитуляции Ирана
2026-03-06T20:53:49: 2026-03-06 20:53:49 | INFO    | ✨ КАНДИДАТ #10: Трамп назвал два варианта безоговорочной капитуляции Ирана
2026-03-06T20:53:50: 2026-03-06 20:53:50 | INFO    | ✓ Ключевые слова (2, HOT:2): Украина вернула своих граждан, задержанных в Будапеште
2026-03-06T20:53:52: 2026-03-06 20:53:52 | INFO    | 🔄 Extended fuzzy дубликат (65%): 'Украина вернула своих граждан, задержанн' ~ 'Украина вернула своих граждан, задержанн'
2026-03-06T20:53:52: 2026-03-06 20:53:52 | INFO    | HTTP Request: POST https://routerai.ru/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-06T20:53:52: 2026-03-06 20:53:52 | INFO    | ✅ LLM одобрил: Kan: в Израиле рассчитывают на присоединение Азербайджана к 
2026-03-06T20:53:52: 2026-03-06 20:53:52 | INFO    | ✨ КАНДИДАТ #11: Kan: в Израиле рассчитывают на присоединение Азербайджана к 
2026-03-06T20:53:52: 2026-03-06 20:53:52 | INFO    | 🔄 HOT-дубликат (extended): Украина вернула своих граждан, задержанных в Будапеште
2026-03-06T20:53:52: 2026-03-06 20:53:52 | INFO    | ✓ Ключевые слова (2, HOT:1): Правительство выдвинуло в совет директоров РЖД министра тран
2026-03-06T20:53:54: 2026-03-06 20:53:54 | INFO    | 🔄 Extended fuzzy дубликат (65%): 'Правительство выдвинуло в совет директор' ~ 'Правительство выдвинуло в совет директор'
2026-03-06T20:53:54: 2026-03-06 20:53:54 | INFO    | 🔄 HOT-дубликат (extended): Правительство выдвинуло в совет директоров РЖД министра тран
2026-03-06T20:53:54: 2026-03-06 20:53:54 | INFO    | ✓ Ключевые слова (1, HOT:0): Что произошло за день: пятница, 6 марта
2026-03-06T20:53:54: 2026-03-06 20:53:54 | INFO    | 🔍 LLM проверка: Что произошло за день: пятница, 6 марта
2026-03-06T20:53:54: 2026-03-06 20:53:54 | INFO    | 💾 Cache hit: classify
2026-03-06T20:53:54: 2026-03-06 20:53:54 | INFO    | ✅ LLM одобрил: Что произошло за день: пятница, 6 марта
2026-03-06T20:53:54: 2026-03-06 20:53:54 | INFO    | ✨ КАНДИДАТ #12: Что произошло за день: пятница, 6 марта
2026-03-06T20:53:54: 2026-03-06 20:53:54 | INFO    | ✓ Ключевые слова (1, HOT:0): Катарские власти решили частично открыть воздушное пространс
2026-03-06T20:53:54: 2026-03-06 20:53:54 | INFO    | 🔍 LLM проверка: Катарские власти решили частично открыть воздушное пространс
2026-03-06T20:53:54: 2026-03-06 20:53:54 | INFO    | 💾 Cache hit: classify
2026-03-06T20:53:54: 2026-03-06 20:53:54 | INFO    | ✅ LLM одобрил: Катарские власти решили частично открыть воздушное пространс
