2026-03-06T20:53:30: 2026-03-06 20:53:30 | INFO    | 🌟 Супер-горячая новость: звезда=100, процессы=1
2026-03-06T20:53:31: 2026-03-06 20:53:31 | INFO    | 📊 Найдено записей: 10
2026-03-06T20:53:31: 2026-03-06 20:53:31 | INFO    | 🏆 ТОП-1 новость: Анонсирован следующий проект режиссера Квентина Тарантино (score=1201)
2026-03-06T20:53:31: 2026-03-06 20:53:31 | INFO    | 🏆 ТОП-1 для обработки: Анонсирован следующий проект режиссера Квентина Тарантино
2026-03-06T20:53:31: 2026-03-06 20:53:31 | INFO    | 🔍 LLM classify для ТОП-1...
2026-03-06T20:53:37: 2026-03-06 20:53:37 | INFO    | HTTP Request: POST https://routerai.ru/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-06T20:53:37: 2026-03-06 20:53:37 | INFO    | ✅ LLM одобрил ТОП-1
2026-03-06T20:53:50: 2026-03-06 20:53:50 | INFO    | HTTP Request: POST https://routerai.ru/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-06T20:53:50: 2026-03-06 20:53:50 | INFO    | ✅ Генерация прошла все проверки: 961 символов
2026-03-06T20:53:50: 2026-03-06 20:53:50 | INFO    | 📤 Попытка отправки 1/3
2026-03-06T20:53:50: 2026-03-06 20:53:50 | INFO    | ✅ Пост отправлен в предложку (ID: 61a9029a8dd7a79b)
2026-03-06T20:53:50: 2026-03-06 20:53:50 | INFO    | ✅ ТОП-1 новость отправлена в предложку
2026-03-06T20:53:50: 2026-03-06 20:53:50 | INFO    | ⏱️ Время обработки цикла: 57.92 сек
2026-03-06T20:53:50: 2026-03-06 20:53:50 | INFO    | ✅ Опубликовано: 1
2026-03-06T20:53:50: 2026-03-06 20:53:50 | INFO    | 😴 ☀️ ДЕНЬ | Следующий ци��л через 39 мин 50 сек
2026-03-06T20:57:50: 2026-03-06 20:57:50 | INFO    | 🛑 Получен сигнал остановки: 2
2026-03-06T20:58:03: 2026-03-06 20:58:02 | INFO    | ✅ Глобальная дедупликация включена
2026-03-06T20:58:03: 2026-03-06 20:58:03 | INFO    | 📊 Prometheus метрики запущены на порту http://localhost:8002/metrics (bot=cinema)
2026-03-06T20:58:03: 2026-03-06 20:58:03 | INFO    | ✅ Prometheus метрики запущены на порту 8002
2026-03-06T20:58:03: 2026-03-06 20:58:03 | INFO    | ✅ Локальная БД инициализирована
2026-03-06T20:58:04: 2026-03-06 20:58:04 | INFO    | ✅ Глобальная БД дедупликации инициализирована
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    | 💾 Загружен кэш: 421 записей
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    | ✅ Планировщик дайджестов запущен (23:00 daily)
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    | ============================================================
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    | 🚀 @Film_orbita PRODUCTION 2026 — OPTIMIZED
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    |    Модель: openai/gpt-oss-20b
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    |    Лимит: 48 постов/день, 3/цикл
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    |    Фидов за цикл: 4 из 7
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    |    ⚡ Автоодобрение: 1+ HOT слово
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    |    🔄 Fuzzy дубликаты: порог 85%
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    |    💾 Кэш��рование: 421 записей
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    |    🚫 Защита от выдумок: ВКЛ
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    |    🕒 Приоритет свежести: <2 часов
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    |    🚫 Чёрный список: 1 доменов
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    |    🌍 Глобальная дедупликация: ✅ ВКЛ
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    |    ☀️ ДЕНЬ: 20-40 мин
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    |    🌙 НОЧЬ: 40-50 мин
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    | ============================================================
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    | ============================================================
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    | 🔄 Цикл #1 | ☀️ ДЕНЬ | 2026-03-06 20:58:07
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    | ============================================================
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    | ⏰ Запуск планировщика дайджестов для cinema на 23:00
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    | ⏰ Следующий дайджест через 2.0 ч
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    | 🔄 Загружаем 7 фидов...
2026-03-06T20:58:09: 2026-03-06 20:58:09 | INFO    | ✅ www.kinonews.ru: 30 записей
2026-03-06T20:58:11: 2026-03-06 20:58:11 | INFO    | ✅ www.intermedia.ru: 150 записей
2026-03-06T20:58:12: 2026-03-06 20:58:12 | INFO    | ✅ www.mirf.ru: 12 записей
2026-03-06T20:58:12: 2026-03-06 20:58:12 | WARNING | ⚠️ feeds.feedburner.com: нет записей
2026-03-06T20:58:33: 2026-03-06 20:58:33 | INFO    | ✅ editorial.rottentomatoes.com: 35 записей
2026-03-06T20:58:33: 2026-03-06 20:58:33 | WARNING | ⏱️ www.kg-portal.ru: таймаут
2026-03-06T20:58:33: 2026-03-06 20:58:33 | WARNING | ⏱️ variety.com: таймаут
2026-03-06T20:58:33: 2026-03-06 20:58:33 | INFO    | 📊 Успешно загружено: 4/7
2026-03-06T20:58:33: 2026-03-06 20:58:33 | INFO    | 📊 Отбрано 4 фидов из 4
2026-03-06T20:58:33: 2026-03-06 20:58:33 | INFO    | ✓ Скор: 1 (SUPER:0, HOT:0, Ключ:1, Возраст:3.0ч): "Охота на Голлума" станет началом новой трилогии "Властелин 
2026-03-06T20:58:34: 2026-03-06 20:58:34 | INFO    | 🌟 Супер-горячая новость: звезда=100, процессы=1
2026-03-06T20:58:34: 2026-03-06 20:58:34 | INFO    | ✓ Скор: 1101 (SUPER:110, HOT:0, Ключ:1, Возраст:8.2ч): Боевик с Киану Ривзом обрел исполнительницу главной женской 
2026-03-06T20:58:34: 2026-03-06 20:58:34 | INFO    | 🌟 Супер-горячая новость: звезда=100, процессы=2
2026-03-06T20:58:34: 2026-03-06 20:58:34 | INFO    | 🔗 Дубликат по ссылке (< 24ч): Анонсирован следующий проект режиссера Квентина Та
2026-03-06T20:58:34: 2026-03-06 20:58:34 | INFO    | ✓ Скор: 2 (SUPER:0, HOT:0, Ключ:2, Возраст:13.0ч): Венсан Кассель сыграет в четвертом сезоне сериала "Белый лот
2026-03-06T20:58:34: 2026-03-06 20:58:34 | INFO    | 🌟 Супер-горячая новость: звезда=80, процессы=1
2026-03-06T20:58:34: 2026-03-06 20:58:34 | INFO    | ✓ Скор: 902 (SUPER:90, HOT:0, Ключ:2, Возраст:13.1ч): Уточнен график выхода фильма "Вольтрон" с Генри Кавиллом
2026-03-06T20:58:34: 2026-03-06 20:58:34 | INFO    | 🌟 Супер-горячая новость: звезда=80, процессы=1
2026-03-06T20:58:34: 2026-03-06 20:58:34 | INFO    | ✓ Скор: 907 (SUPER:90, HOT:1, Ключ:4, Возраст:13.4ч): Питер Джексон получит "Золотую пальмовую ветвь" в Каннах
2026-03-06T20:58:34: 2026-03-06 20:58:34 | INFO    | ✓ Скор: 7 (SUPER:0, HOT:1, Ключ:4, Возраст:13.6ч): Netflix назначил Бена Аффлека консультантом по ИИ
2026-03-06T20:58:34: 2026-03-06 20:58:34 | INFO    | ✓ Скор: 5 (SUPER:0, HOT:1, Ключ:2, Возраст:13.8ч): Хоумлендер обретает бессмертие в трейлере сериала "Пацаны"
2026-03-06T20:58:34: 2026-03-06 20:58:34 | INFO    | ✓ Скор: 2 (SUPER:0, HOT:0, Ключ:2, Возраст:14.5ч): Уточнен съемочный график фильма о Ганнибале с Дензелом Вашин
2026-03-06T20:58:35: 2026-03-06 20:58:35 | INFO    | 🌟 Супер-горячая новость: звезда=100, процессы=1
2026-03-06T20:58:35: 2026-03-06 20:58:35 | INFO    | ✓ Скор: 5 (SUPER:0, HOT:1, Ключ:2, Возраст:5.4ч): Наркодилеров ждет «Возмездие» на НТВ
2026-03-06T20:58:35: 2026-03-06 20:58:35 | INFO    | ✓ Скор: 3 (SUPER:0, HOT:0, Ключ:3, Возраст:6.0ч): Карла Гуджино, Хэмиш Линклейтер и Кейт Сигел снимаются в нов
2026-03-06T20:58:35: 2026-03-06 20:58:35 | INFO    | ✓ Скор: 4 (SUPER:0, HOT:1, Ключ:1, Возраст:6.4ч): Сюзи Кватро выпустила песню «Little Miss Lovely» из нового а
2026-03-06T20:58:36: 2026-03-06 20:58:36 | INFO    | ✓ Скор: 4 (SUPER:0, HOT:1, Ключ:1, Возраст:6.6ч): «Мегаполис» подарил новую жизнь песне «Женское сердце»
2026-03-06T20:58:36: 2026-03-06 20:58:36 | INFO    | ✓ Скор: 4 (SUPER:0, HOT:1, Ключ:1, Возраст:6.8ч): «Танцы минус» представили сборник ремиксов
2026-03-06T20:58:36: 2026-03-06 20:58:36 | INFO    | ✓ Скор: 4 (SUPER:0, HOT:1, Ключ:1, Возраст:7.3ч): «#ВАМЛЮБИМЫЕ»: весенняя премьера от Института поддержки детс
2026-03-06T20:58:36: 2026-03-06 20:58:36 | INFO    | ✓ Скор: 1 (SUPER:0, HOT:0, Ключ:1, Возраст:8.2ч): Надя Терешкевич и Венсан Кассель снимутся в новом сезоне «Бе
2026-03-06T20:58:36: 2026-03-06 20:58:36 | INFO    | ✓ Скор: 1 (SUPER:0, HOT:0, Ключ:1, Возраст:8.5ч): Ирина Апексимова получила награду от Сергея Собянина
2026-03-06T20:58:36: 2026-03-06 20:58:36 | INFO    | 📊 Найдено записей: 16
