2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    ⏭️ Новость отклонена: Reuters: США хотят, чтобы Шри-Ланка не возвращала 
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    [10] Обработка: Saudi Airlines частично возобновит полеты в Дубай с 7 марта
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    |    ⏭️ Новость отклонена: Saudi Airlines частично возобновит полеты в Дубай 
2026-03-06T20:10:55: 2026-03-06 20:10:55 | INFO    | 📂 Категория: ECONOMY
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    | ⏭️ Пропущена старая новость (3.0ч > 3ч): Проект «Жить» запустил флешмоб в поддержку российс
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    | 📰 economy: найдено 29 новостей за последние 3ч
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    [1] Обработка: Трамп считает, что капитуляция Ирана возможна при утрате им 
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ Новость отклонена: Трамп считает, что капитуляция Ирана возможна при 
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    [2] Обработка: В Сумах произошел взрыв
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ Новость отклонена: В Сумах произошел взрыв
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    [3] Обработка: В Воронеже объявили угрозу непосредственного удара БПЛА
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:11:00: 2026-03-06 20:11:00 | INFO    |    ⏭️ Новость отклонена: В Воронеже объявили угрозу непосредственного удара
